Year(s) of Live Birth,Maternal Window,Data Source,Risk Factor Type,Risk Factor,Risk Factor Strata,Live Births (N),Live Births (%),Any Sepsis Incidence (N),"Any Sepsis Incidence per 100,000 Live Births",Any Sepsis Crude Odds Ratio (95% CI),Any Sepsis p-value,Severe Sepsis Incidence (N),"Severe Sepsis Incidence per 100,000 Live Births",Severe Sepsis Crude Odds Ratio (95% CI),Severe Sepsis p-value
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Chronic renal disease,No,637197,99.56,653,102.48,ref,,130,20.4,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Chronic renal disease,Yes,2826,0.44,17,601.56,5.90 (3.64-9.57),<.0001,4,141.54,6.95 (2.57-18.80),0.0001
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Congenital heart disease,No,633520,98.98,634,100.08,ref,,124,19.57,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Congenital heart disease,Yes,6503,1.02,36,553.59,5.56 (3.97-7.78),<.0001,10,153.78,7.87 (4.13-14.99),<.0001
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Cystic fibrosis,No,638668,99.79,670,104.91,ref,,134,20.98,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Cystic fibrosis,Yes,1355,0.21,0,0,<0.001 (<0.001->999.99),0.9573,0,0,<0.001 (<0.001->999.99),0.9809
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Drug abuse,No,624877,97.63,630,100.82,ref,,122,19.52,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Drug abuse,Yes,15146,2.37,40,264.1,2.62 (1.91-3.61),<.0001,12,79.23,4.06 (2.24-7.35),<.0001
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Gestational diabetes mellitus,No,583395,91.15,584,100.1,ref,,121,20.74,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Gestational diabetes mellitus,Yes,56628,8.85,86,151.87,1.52 (1.21-1.90),0.0003,13,22.96,1.11 (0.62-1.96),0.7279
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Gestational hypertension,No,598835,93.56,596,99.53,ref,,121,20.21,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Gestational hypertension,Yes,41188,6.44,74,179.66,1.81 (1.42-2.30),<.0001,13,31.56,1.56 (0.88-2.77),0.1264
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Human immunodeficiency virus,No,638741,99.8,665,104.11,ref,,134,20.98,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Human immunodeficiency virus,Yes,1282,0.2,5,390.02,3.76 (1.56-9.07),0.0032,0,0,<0.001 (<0.001->999.99),0.9721
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Mild preeclampsia or unspecified preeclampsia,No,635059,99.22,654,102.98,ref,,131,20.63,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Mild preeclampsia or unspecified preeclampsia,Yes,4964,0.78,16,322.32,3.14 (1.91-5.16),<.0001,3,60.44,2.93 (0.93-9.21),0.0655
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Multiple gestation,No,627420,98.03,642,102.32,ref,,130,20.72,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Multiple gestation,Yes,12603,1.97,28,222.17,2.17 (1.49-3.17),<.0001,4,31.74,1.53 (0.57-4.14),0.4008
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Obesity,No,549734,85.89,498,90.59,ref,,105,19.1,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Obesity,Yes,90289,14.11,172,190.5,2.11 (1.77-2.50),<.0001,29,32.12,1.68 (1.11-2.54),0.0132
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Placenta previa,No,628606,98.22,650,103.4,ref,,130,20.68,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Placenta previa,Yes,11417,1.78,20,175.18,1.70 (1.09-2.65),0.0201,4,35.04,1.69 (0.63-4.58),0.2989
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Preexisting diabetes mellitus,No,628047,98.13,646,102.86,ref,,129,20.54,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Preexisting diabetes mellitus,Yes,11976,1.87,24,200.4,1.95 (1.30-2.93),0.0013,5,41.75,2.03 (0.83-4.97),0.1190
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Preexisting hypertension,No,619153,96.74,619,99.98,ref,,124,20.03,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Preexisting hypertension,Yes,20870,3.26,51,244.37,2.45 (1.84-3.26),<.0001,10,47.92,2.39 (1.26-4.56),0.0080
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Previous cesarean delivery,No,524393,81.93,561,106.98,ref,,110,20.98,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Previous cesarean delivery,Yes,115630,18.07,109,94.27,0.88 (0.72-1.08),0.2266,24,20.76,0.99 (0.64-1.54),0.9627
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Pulmonary hypertension,No,639759,99.96,660,103.16,ref,,130,20.32,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Pulmonary hypertension,Yes,264,0.04,10,3787.88,38.17 (20.20-72.10),<.0001,4,1515.15,75.72 (27.79-206.3),<.0001
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Severe preeclampsia/eclampsia,No,626108,97.83,627,100.14,ref,,121,19.33,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Severe preeclampsia/eclampsia,Yes,13915,2.17,43,309.02,3.09 (2.27-4.21),<.0001,13,93.42,4.84 (2.73-8.57),<.0001
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Sickle cell disease,No,629075,98.29,637,101.26,ref,,125,19.87,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Sickle cell disease,Yes,10948,1.71,33,301.42,2.98 (2.10-4.24),<.0001,9,82.21,4.14 (2.10-8.15),<.0001
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Systemic lupus erythematosus,No,638710,99.79,668,104.59,ref,,134,20.98,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Systemic lupus erythematosus,Yes,1313,0.21,2,152.32,1.46 (0.37-5.85),0.5917,0,0,<0.001 (<0.001->999.99),0.9718
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Tobacco use,No,608267,95.04,618,101.6,ref,,121,19.89,ref,
2016-2018,Delivery,SPARCS,Bateman Comorbidities,Tobacco use,Yes,31756,4.96,52,163.75,1.61 (1.21-2.14),0.0009,13,40.94,2.06 (1.16-3.65),0.0133
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Blood loss anaemia,No,562221,87.84,512,91.07,ref,,98,17.43,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Blood loss anaemia,Yes,77802,12.16,158,203.08,2.23 (1.87-2.67),<.0001,36,46.27,2.66 (1.81-3.89),<.0001
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Cardiac arrhythmias,No,639808,99.97,670,104.72,ref,,134,20.94,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Cardiac arrhythmias,Yes,215,0.03,0,0,<0.001 (<0.001->999.99),0.9622,0,0,<0.001 (<0.001->999.99),0.9831
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Chronic pulmonary disease,No,595609,93.06,591,99.23,ref,,111,18.64,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Chronic pulmonary disease,Yes,44414,6.94,79,177.87,1.79 (1.42-2.27),<.0001,23,51.79,2.78 (1.77-4.36),<.0001
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Coagulopathy,No,616593,96.34,620,100.55,ref,,125,20.27,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Coagulopathy,Yes,23430,3.66,50,213.4,2.12 (1.59-2.84),<.0001,9,38.41,1.90 (0.96-3.73),0.0639
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Deficiency anaemia,No,590839,92.32,578,97.83,ref,,117,19.8,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Deficiency anaemia,Yes,49184,7.68,92,187.05,1.91 (1.54-2.39),<.0001,17,34.56,1.75 (1.05-2.90),0.0318
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Depression,No,617932,96.55,644,104.22,ref,,124,20.07,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Depression,Yes,22091,3.45,26,117.69,1.13 (0.76-1.67),0.5429,10,45.27,2.26 (1.18-4.30),0.0133
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Fluid and electrolyte disorders,No,628753,98.24,597,94.95,ref,,106,16.86,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Fluid and electrolyte disorders,Yes,11270,1.76,73,647.74,6.86 (5.38-8.75),<.0001,28,248.45,14.78 (9.74-22.42),<.0001
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Hypothyroidism,No,608261,95.04,639,105.05,ref,,127,20.88,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Hypothyroidism,Yes,31762,4.96,31,97.6,0.93 (0.65-1.33),0.6889,7,22.04,1.06 (0.49-2.26),0.8865
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Liver disease,No,635507,99.29,658,103.54,ref,,133,20.93,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Liver disease,Yes,4516,0.71,12,265.72,2.57 (1.45-4.55),0.0012,1,22.14,1.06 (0.15-7.57),0.9538
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Lymphoma,No,639845,99.97,670,104.71,ref,,134,20.94,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Lymphoma,Yes,178,0.03,0,0,<0.001 (<0.001->999.99),0.9656,0,0,<0.001 (<0.001->999.99),0.9774
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Metastatic cancer,No,639946,99.99,667,104.23,ref,,133,20.78,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Metastatic cancer,Yes,77,0.01,3,3896.1,38.93 (12.26-123.7),<.0001,1,1298.7,63.43 (8.77-458.6),<.0001
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Other neurological disorders,No,626275,97.85,648,103.47,ref,,128,20.44,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Other neurological disorders,Yes,13748,2.15,22,160.02,1.55 (1.01-2.37),0.0442,6,43.64,2.14 (0.94-4.84),0.0693
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Paralysis,No,639682,99.95,668,104.43,ref,,134,20.95,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Paralysis,Yes,341,0.05,2,586.51,5.64 (1.40-22.71),0.0148,0,0,<0.001 (<0.001->999.99),0.9787
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,"Peptic ulcer disease, excluding bleeding",No,639782,99.96,669,104.57,ref,,133,20.79,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,"Peptic ulcer disease, excluding bleeding",Yes,241,0.04,1,414.94,3.98 (0.56-28.42),0.1683,1,414.94,20.04 (2.79-143.9),0.0029
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Peripheral vascular disorders,No,639750,99.96,667,104.26,ref,,134,20.95,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Peripheral vascular disorders,Yes,273,0.04,3,1098.9,10.65 (3.40-33.30),<.0001,0,0,<0.001 (<0.001->999.99),0.9809
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Psychoses,No,632618,98.84,657,103.85,ref,,130,20.55,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Psychoses,Yes,7405,1.16,13,175.56,1.69 (0.98-2.93),0.0607,4,54.02,2.63 (0.97-7.11),0.0569
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Pulmonary circulation disorders,No,639721,99.95,666,104.11,ref,,132,20.63,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Pulmonary circulation disorders,Yes,302,0.05,4,1324.5,12.88 (4.79-34.65),<.0001,2,662.25,32.30 (7.96-131.1),<.0001
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Renal failure,No,639490,99.92,667,104.3,ref,,132,20.64,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Renal failure,Yes,533,0.08,3,562.85,5.42 (1.74-16.91),0.0036,2,375.23,18.25 (4.51-73.91),<.0001
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Rheumatoid arthritis/collagen vascular diseases,No,636997,99.53,666,104.55,ref,,134,21.04,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Rheumatoid arthritis/collagen vascular diseases,Yes,3026,0.47,4,132.19,1.27 (0.47-3.38),0.6392,0,0,<0.001 (<0.001->999.99),0.9714
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Solid tumour without metastasis,No,639335,99.89,664,103.86,ref,,133,20.8,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Solid tumour without metastasis,Yes,688,0.11,6,872.09,8.46 (3.78-18.97),<.0001,1,145.35,7.00 (0.98-50.10),0.0526
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Valvular disease,No,637661,99.63,661,103.66,ref,,132,20.7,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Valvular disease,Yes,2362,0.37,9,381.03,3.69 (1.91-7.12),0.0001,2,84.67,4.09 (1.01-16.55),0.0479
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Weight loss,No,639184,99.87,665,104.04,ref,,133,20.81,ref,
2016-2018,Delivery,SPARCS,Elixhauser Comorbidities,Weight loss,Yes,839,0.13,5,595.95,5.76 (2.38-13.92),0.0001,1,119.19,5.74 (0.80-41.05),0.0818
2016-2018,Delivery,Birth certificate,Other Comorbidities,Alcohol Use,No,612201,98.88,613,100.13,ref,,117,19.11,ref,
2016-2018,Delivery,Birth certificate,Other Comorbidities,Alcohol Use,Yes,5455,0.88,5,91.66,0.92 (0.38-2.21),0.8439,2,36.66,1.92 (0.47-7.77),0.3609
2016-2018,Delivery,Birth certificate,Other Comorbidities,Alcohol Use,Unknown,1486,0.24,9,605.65,6.08 (3.14-11.76),<.0001,3,201.88,10.58 (3.36-33.33),<.0001
2016-2018,Delivery,SPARCS,Other Comorbidities,Group B Strep Carrier,No,512247,80.04,563,109.91,ref,,115,22.45,ref,
2016-2018,Delivery,SPARCS,Other Comorbidities,Group B Strep Carrier,Yes,127776,19.96,107,83.74,0.76 (0.62-0.94),0.0100,19,14.87,0.66 (0.41-1.08),0.0962
2016-2018,Delivery,SPARCS,Other Comorbidities,History of Sepsis (w/in 1yr prior to start of pregnancy),No,639436,99.91,667,104.31,ref,,134,20.96,ref,
2016-2018,Delivery,SPARCS,Other Comorbidities,History of Sepsis (w/in 1yr prior to start of pregnancy),Yes,587,0.09,3,511.07,4.92 (1.58-15.34),0.0060,0,0,<0.001 (<0.001->999.99),0.9812
2016-2018,Delivery,Birth certificate,Other Comorbidities,Illegal Drug Use,No,603418,97.46,593,98.27,ref,,110,18.23,ref,
2016-2018,Delivery,Birth certificate,Other Comorbidities,Illegal Drug Use,Yes,14992,2.42,31,206.78,2.11 (1.47-3.02),<.0001,11,73.37,4.03 (2.17-7.49),<.0001
2016-2018,Delivery,Birth certificate,Other Comorbidities,Illegal Drug Use,Unknown,732,0.12,3,409.84,4.18 (1.34-13.04),0.0136,1,136.61,7.50 (1.05-53.81),0.0450
2016-2018,Delivery,SPARCS,Other Comorbidities,Organ Transplant,No,639858,99.97,668,104.4,ref,,134,20.94,ref,
2016-2018,Delivery,SPARCS,Other Comorbidities,Organ Transplant,Yes,165,0.03,2,1212.12,11.78 (2.92-47.49),0.0005,0,0,<0.001 (<0.001->999.99),0.9783
2016-2018,Delivery,SPARCS,Other Comorbidities,Other Immunosupression,No,639334,99.89,666,104.17,ref,,133,20.8,ref,
2016-2018,Delivery,SPARCS,Other Comorbidities,Other Immunosupression,Yes,689,0.11,4,580.55,5.60 (2.09-15.01),0.0006,1,145.14,6.99 (0.98-50.03),0.0527
2016-2018,Delivery,Birth certificate,Other Comorbidities,Tobacco Use,No,576262,93.07,572,99.26,ref,,104,18.05,ref,
2016-2018,Delivery,Birth certificate,Other Comorbidities,Tobacco Use,Yes,42128,6.8,48,113.94,1.15 (0.86-1.54),0.3585,14,33.23,1.84 (1.05-3.22),0.0320
2016-2018,Delivery,Birth certificate,Other Comorbidities,Tobacco Use,Unknown,752,0.12,7,930.85,9.46 (4.48-20.00),<.0001,4,531.91,29.63 (10.89-80.63),<.0001
2016-2018,Delivery,SPARCS,Demographics,Age Group,<20,35999,5.62,59,163.89,1.66 (1.27-2.18),0.0002,9,25,1.26 (0.64-2.49),0.5094
2016-2018,Delivery,SPARCS,Demographics,Age Group,20-35,488179,76.28,481,98.53,ref,,97,19.87,ref,
2016-2018,Delivery,SPARCS,Demographics,Age Group,>35,115845,18.1,130,112.22,1.14 (0.94-1.38),0.1879,28,24.17,1.22 (0.80-1.85),0.3609
2016-2018,Delivery,Birth certificate,Demographics,Education,Less than high school,93199,14.56,120,128.76,1.79 (1.41-2.26),<.0001,23,24.68,2.30 (1.31-4.05),0.0039
2016-2018,Delivery,Birth certificate,Demographics,Education,High school graduate or GED,141421,22.1,156,110.31,1.53 (1.23-1.90),0.0001,29,20.51,1.91 (1.12-3.26),0.0176
2016-2018,Delivery,Birth certificate,Demographics,Education,Some College,99452,15.54,105,105.58,1.46 (1.15-1.87),0.0022,18,18.1,1.69 (0.92-3.09),0.0907
2016-2018,Delivery,Birth certificate,Demographics,Education,AA Degree,49715,7.77,66,132.76,1.84 (1.39-2.45),<.0001,22,44.25,4.13 (2.33-7.32),<.0001
2016-2018,Delivery,Birth certificate,Demographics,Education,BA degree or higher,233015,36.41,168,72.1,ref,,25,10.73,ref,
2016-2018,Delivery,Birth certificate,Demographics,Education,Unknown,2340,0.37,12,512.82,7.14 (3.97-12.85),<.0001,5,213.68,19.96 (7.63-52.18),<.0001
2016-2018,Delivery,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"White, Non-Hispanic",312583,48.84,201,64.3,ref,,46,14.72,ref,
2016-2018,Delivery,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Black, Non-Hispanic",96078,15.01,146,151.96,2.37 (1.91-2.93),<.0001,26,27.06,1.84 (1.14-2.97),0.0130
2016-2018,Delivery,SPARCS & Birth certificate,Demographics,Race/Ethnicity,Hispanic,142099,22.2,218,153.41,2.39 (1.97-2.89),<.0001,39,27.45,1.87 (1.22-2.86),0.0042
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Cesarean Delivery,No,409636,66.16,190,46.38,ref,,36,8.79,ref,
2016-2018,Delivery,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Native American/Alaska Native, Non-Hispanic",1733,0.27,1,57.7,0.90 (0.13-6.40),0.9140,0,0,<0.001 (<0.001->999.99),0.9791
2016-2018,Delivery,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Asian/Pacific Islander, Non-Hispanic",76157,11.9,85,111.61,1.74 (1.35-2.24),<.0001,16,21.01,1.43 (0.81-2.52),0.2199
2016-2018,Delivery,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Other, Non-Hispanic",7870,1.23,15,190.6,2.97 (1.76-5.02),<.0001,5,63.53,4.32 (1.72-10.87),0.0019
2016-2018,Delivery,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Multi-Racial, Non-Hispanic",3503,0.55,4,114.19,1.78 (0.66-4.78),0.2553,2,57.09,3.88 (0.94-16.00),0.0605
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,Central,28689,4.48,21,73.2,0.65 (0.42-1.01),0.0531,7,24.4,1.19 (0.54-2.59),0.6657
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,Finger Lakes,26976,4.21,11,40.78,0.36 (0.20-0.66),0.0009,5,18.53,0.90 (0.36-2.24),0.8245
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,Long Island,89369,13.96,117,130.92,1.16 (0.94-1.43),0.1675,25,27.97,1.36 (0.86-2.16),0.1906
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,Mid-Hudson,25890,4.05,28,108.15,0.96 (0.65-1.41),0.8233,2,7.72,0.38 (0.09-1.54),0.1731
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,New York City,311517,48.67,352,113,ref,,64,20.54,ref,
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,Northeast,29916,4.67,23,76.88,0.68 (0.45-1.04),0.0734,3,10.03,0.49 (0.15-1.55),0.2247
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,Northern Metro,40880,6.39,46,112.52,1.00 (0.73-1.35),0.9787,7,17.12,0.83 (0.38-1.82),0.6472
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,Utica-Adirondack,25309,3.95,18,71.12,0.63 (0.39-1.01),0.0553,4,15.8,0.77 (0.28-2.11),0.6108
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,Western,60572,9.46,52,85.85,0.76 (0.57-1.02),0.0642,15,24.76,1.21 (0.69-2.12),0.5149
2016-2018,Delivery,SPARCS,Demographics,Region of Residence,No NYS County,905,0.14,2,220.99,1.96 (0.49-7.88),0.3423,2,220.99,10.78 (2.63-44.10),0.0009
2016-2018,Delivery,SPARCS,Obstetric,Acute renal failure,No,639515,99.92,622,97.26,ref,,114,17.83,ref,
2016-2018,Delivery,SPARCS,Obstetric,Acute renal failure,Yes,508,0.08,48,9448.82,107.2 (78.81-145.8),<.0001,20,3937.01,229.9 (141.8-372.8),<.0001
2016-2018,Delivery,Birth certificate,Obstetric,3rd or 4th degree tears,No,608317,98.25,620,101.92,ref,,122,20.06,ref,
2016-2018,Delivery,Birth certificate,Obstetric,3rd or 4th degree tears,Yes,10825,1.75,7,64.67,0.63 (0.30-1.34),0.2311,0,0,<0.001 (<0.001->999.99),0.9772
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,ART,No,608603,98.3,607,99.74,ref,,120,19.72,ref,
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,ART,Yes,10539,1.7,20,189.77,1.91 (1.22-2.98),0.0046,2,18.98,0.96 (0.24-3.89),0.9580
2016-2018,Delivery,SPARCS,Obstetric,Abnormal placentation,No,639043,99.85,662,103.59,ref,,132,20.66,ref,
2016-2018,Delivery,SPARCS,Obstetric,Abnormal placentation,Yes,980,0.15,8,816.33,7.94 (3.94-15.98),<.0001,2,204.08,9.92 (2.46-40.08),0.0013
2016-2018,Delivery,SPARCS,Obstetric,Acute myocardial infarction,No,640005,100,667,104.22,ref,,131,20.47,ref,
2016-2018,Delivery,SPARCS,Obstetric,Acute myocardial infarction,Yes,18,0,3,16666.67,192.1 (55.53-664.5),<.0001,3,16666.67,976.9 (279.5->999.99),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Adult respiratory distress syndrome,No,639670,99.94,609,95.21,ref,,101,15.79,ref,
2016-2018,Delivery,SPARCS,Obstetric,Adult respiratory distress syndrome,Yes,353,0.06,61,17280.45,219.2 (164.5-292.1),<.0001,33,9348.44,653.1 (434.3-982.2),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Air and thrombotic embolism,No,639891,99.98,657,102.67,ref,,128,20,ref,
2016-2018,Delivery,SPARCS,Obstetric,Air and thrombotic embolism,Yes,132,0.02,13,9848.48,106.3 (59.66-189.4),<.0001,6,4545.45,238.0 (103.1-549.7),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Amniotic fluid embolism,No,640001,100,667,104.22,ref,,132,20.62,ref,
2016-2018,Delivery,SPARCS,Obstetric,Amniotic fluid embolism,Yes,22,0,3,13636.36,151.4 (44.70-512.7),<.0001,2,9090.91,485.7 (112.5->999.99),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Aneurysm,No,640022,100,670,104.68,ref,,134,20.94,ref,
2016-2018,Delivery,SPARCS,Obstetric,Aneurysm,Yes,1,0,0,0,0.05 (<0.001->999.99),0.9827,0,0,0.05 (<0.001->999.99),0.9923
2016-2018,Delivery,SPARCS,Obstetric,Blood products transfusion,No,627984,98.12,516,82.17,ref,,94,14.97,ref,
2016-2018,Delivery,SPARCS,Obstetric,Blood products transfusion,Yes,12039,1.88,154,1279.18,15.76 (13.15-18.88),<.0001,40,332.25,22.27 (15.37-32.25),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Cardiac arrest/ventricular fibrillation,No,639984,99.99,665,103.91,ref,,131,20.47,ref,
2016-2018,Delivery,SPARCS,Obstetric,Cardiac arrest/ventricular fibrillation,Yes,39,0.01,5,12820.51,141.4 (55.13-362.6),<.0001,3,7692.31,407.8 (124.1->999.99),<.0001
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Cerclage (rescue>prophylactic),No,616405,99.56,610,98.96,ref,,121,19.63,ref,
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Cerclage (rescue>prophylactic),Yes,2737,0.44,17,621.12,6.31 (3.89-10.23),<.0001,1,36.54,1.86 (0.26-13.33),0.5358
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Cesarean Delivery,Yes,209421,33.82,437,208.67,4.51 (3.80-5.34),<.0001,86,41.07,4.67 (3.17-6.90),<.0001
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Cesarean Delivery,Unknown,85,0.01,0,0,<0.001 (<0.001->999.99),0.9691,0,0,<0.001 (<0.001->999.99),0.9864
2016-2018,Delivery,SPARCS,Obstetric,Conversion of cardiac rhythm,No,639960,99.99,668,104.38,ref,,133,20.78,ref,
2016-2018,Delivery,SPARCS,Obstetric,Conversion of cardiac rhythm,Yes,63,0.01,2,3174.6,31.47 (7.69-128.7),<.0001,1,1587.3,77.61 (10.68-563.7),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Disseminated intravascular coagulation,No,638927,99.83,633,99.07,ref,,116,18.16,ref,
2016-2018,Delivery,SPARCS,Obstetric,Disseminated intravascular coagulation,Yes,1096,0.17,37,3375.91,35.23 (25.15-49.35),<.0001,18,1642.34,91.97 (55.78-151.6),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Eclampsia,No,639856,99.97,664,103.77,ref,,131,20.47,ref,
2016-2018,Delivery,SPARCS,Obstetric,Eclampsia,Yes,167,0.03,6,3592.81,35.89 (15.83-81.34),<.0001,3,1796.41,89.33 (28.16-283.4),<.0001
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Episiotomy,No,566022,91.42,591,104.41,ref,,119,21.02,ref,
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Episiotomy,Yes,53120,8.58,36,67.77,0.65 (0.46-0.91),0.0118,3,5.65,0.27 (0.09-0.84),0.0245
2016-2018,Delivery,SPARCS,Obstetric,Heart failure/arrest during surgery or procedure,No,640012,100,670,104.69,ref,,134,20.94,ref,
2016-2018,Delivery,SPARCS,Obstetric,Heart failure/arrest during surgery or procedure,Yes,11,0,0,0,0.00 (<0.001->999.99),0.9744,0,0,0.00 (<0.001->999.99),0.9886
2016-2018,Delivery,SPARCS,Obstetric,Hysterectomy,No,639324,99.89,656,102.61,ref,,127,19.86,ref,
2016-2018,Delivery,SPARCS,Obstetric,Hysterectomy,Yes,699,0.11,14,2002.86,19.90 (11.66-33.97),<.0001,7,1001.43,50.91 (23.70-109.4),<.0001
2016-2018,Delivery,Birth certificate,Obstetric,Induction of Labor,No,375222,60.6,385,102.61,ref,,93,24.79,ref,
